I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Complete Transactions
@_,OBD.L,Oxford BioDynamics Plc,Healthcare,Diagnostics & Research,1.00,0.40 - 0.46,0.47 - 0.48,0.07 - 0.08,0.45,1772.89,30363120,8,-0.403,4
@_,OBI.L,Ondine Biomedical Inc.,Healthcare,Biotechnology,1.00,12.50 - 14.25,13.00 - 16.25,0.50 - 3.75,16.25,1718.16,224906,4,0.265,5
@_,OCDO.L,Ocado Group plc,Consumer Defensive,Grocery Stores,1.50,345.50 - 355.60,370.50 - 393.50,25.00 - 48.00,360.50,880.60,3036442,6,2.046,2
@_,OCN.L,Ocean Wilsons Holdings Limited,Financial Services,Asset Management,1.75,1090.75 - 1137.09,1112.56 - 1172.25,21.81 - 81.50,1185.00,407.88,97345,3,0.825,4
*_,OHGR.L,One Health Group Plc,Healthcare,Medical Care Facilities,0.00,262.00 - 266.00,270.78 - 271.12,8.78 - 9.12,257.00,258.98,8311,1,UNKNOWN,2
@_,OIG.L,Oryx International Growth Ord,Financial Services,Asset Management,0.83,1330.00 - 1374.28,1369.25 - 1410.00,39.25 - 80.00,1375.50,509.16,9267,1,UNKNOWN,6
*_,OIT.L,Odyssean Investment Trust Ord,Financial Services,Asset Management,0.40,154.01 - 158.10,155.72 - 160.62,1.72 - 6.61,153.50,396.55,141346,3,UNKNOWN,5
*_,OMG.L,Oxford Metrics plc,Technology,Software Application,0.50,44.19 - 44.80,44.67 - 45.60,0.48 - 1.41,43.98,484.61,432386,4,0.847,6
*_,OMI.L,Orosur Mining Inc.,Basic Materials,Gold,0.29,11.00 - 13.00,11.50 - 13.50,0.50 - 2.50,12.30,1642.35,1735862,6,-0.287,7
@_,OMIP.L,One Media iP Group Plc,Communication Services,Entertainment,0.00,4.05 - 4.05,4.25 - 4.25,0.20 - 0.20,4.25,493.60,401864,4,0.085,2
*_,OMU.L,Old Mutual Limited,Financial Services,Financial Conglomerates,1.25,51.60 - 53.20,52.14 - 54.80,0.54 - 3.20,53.00,390.72,112371,3,0.915,4
@_,ONDO.L,Ondo InsurTech Plc,Technology,Scientific & Technical Instruments,0.33,27.00 - 28.40,28.00 - 29.00,1.00 - 2.00,28.00,1463.99,302762,4,-0.113,9
@_,ONT.L,Oxford Nanopore Technologies plc,Healthcare,Biotechnology,0.33,202.80 - 208.80,211.40 - 222.80,8.60 - 20.00,209.60,674.68,2053534,6,0.898,3
@_,ONWD.L,Onward Opportunities Ltd,UNKNOWN,UNKNOWN,4.00,127.15 - 127.15,128.50 - 128.50,1.35 - 1.35,128.50,52.65,4616,1,UNKNOWN,1
@_,OPG.L,OPG Power Ventures Plc,Utilities,Utilities Independent Power Producers,0.33,7.80 - 8.10,8.00 - 8.50,0.20 - 0.70,8.15,987.59,294061,4,0.424,6
@_,OPT.L,Optima Health plc,Healthcare,Health Information Services,0.67,210.00 - 211.04,214.50 - 215.64,4.50 - 5.64,215.00,312.80,161210,3,UNKNOWN,3
@_,OPTI.L,OptiBiotix Health Plc,Healthcare,Biotechnology,1.00,10.50 - 11.25,10.75 - 11.70,0.25 - 1.20,11.75,1334.45,352609,4,1.699,6
@_,ORCA.L,Orcadian Energy Plc,Energy,Oil & Gas E&P,3.50,8.70 - 9.11,9.50 - 10.00,0.80 - 1.30,9.50,946.92,61793,3,-2.158,2
*_,ORCH.L,Orchard Funding Group plc,Financial Services,Credit Services,0.83,60.50 - 63.50,61.40 - 64.60,0.90 - 4.10,61.50,752.20,30036,2,-0.156,6
@_,ORIT.L,Octopus Renewables Infrastructure Ord,Financial Services,Asset Management,2.00,68.70 - 69.69,69.60 - 70.70,0.90 - 2.00,69.70,201.83,1204229,6,UNKNOWN,3
@_,ORR.L,Oriole Resources PLC,Basic Materials,Gold,5.00,0.19 - 0.19,0.23 - 0.23,0.04 - 0.04,0.20,1072.36,21459834,8,0.704,1
*_,OSB.L,OSB Group Plc,Financial Services,Mortgage Finance,4.00,554.00 - 554.00,567.50 - 567.50,13.50 - 13.50,551.00,121.50,713111,5,1.293,1
@_,OTB.L,On the Beach Group plc,Consumer Cyclical,Travel Services,0.29,257.98 - 273.00,267.00 - 277.00,9.02 - 19.02,277.00,760.74,592722,5,2.14,7
@_,OXB.L,Oxford Biomedica plc,Healthcare,Biotechnology,3.00,438.00 - 441.42,448.50 - 491.40,10.50 - 53.40,495.51,665.28,162482,3,0.896,2
@_,OXIG.L,Oxford Instruments plc,Technology,Scientific & Technical Instruments,0.67,1766.00 - 1820.00,1818.00 - 1853.80,52.00 - 87.80,1812.00,223.60,143943,3,0.996,3
*_,PAC.L,Pacific Assets Trust plc,UNKNOWN,UNKNOWN,2.00,353.00 - 353.66,357.00 - 359.00,4.00 - 6.00,349.00,130.76,409430,4,UNKNOWN,2
@_,PACS.L,PACSCo Limited,Consumer Defensive,Farm Products,0.00,0.43 - 0.43,0.57 - 0.57,0.13 - 0.13,0.50,1624.00,1416,1,-0.384,1
@_,PAF.L,Pan African Resources PLC,Basic Materials,Gold,0.50,60.30 - 61.40,61.20 - 63.10,0.90 - 2.80,62.10,465.68,3317530,6,0.399,4
*_,PAG.L,Paragon Banking Group PLC,Financial Services,Mortgage Finance,2.00,905.39 - 909.00,917.00 - 927.00,11.61 - 21.61,906.00,148.05,395895,4,1.559,2
*_,PAGE.L,PageGroup plc,Industrials,Staffing & Employment Services,0.50,258.60 - 265.60,266.40 - 273.60,7.80 - 15.00,261.80,292.20,476572,4,1.098,2
*_,PALM.L,Panther Metals PLC,Basic Materials,Gold,0.25,80.78 - 91.75,82.50 - 95.00,1.72 - 14.22,89.20,1283.76,26417,2,0.07,8
@_,PANR.L,Pantheon Resources Plc,Energy,Oil & Gas E&P,1.00,23.69 - 23.88,24.71 - 27.05,1.02 - 3.36,26.75,1087.03,6382369,7,-0.87,3
*_,PAT.L,Panthera Resources PLC,Basic Materials,Gold,0.33,12.00 - 12.70,12.40 - 13.00,0.40 - 1.00,12.25,1067.02,590333,5,1.174,6
@_,PAY.L,PayPoint plc,Technology,Software Infrastructure,1.00,724.00 - 724.00,737.47 - 753.00,13.47 - 29.00,750.00,254.82,137218,3,0.474,2
@_,PBEE.L,PensionBee Group plc,Financial Services,Capital Markets,0.14,160.00 - 168.00,162.00 - 170.00,2.00 - 10.00,168.02,646.28,513049,5,0.424,7
@_,PCA.L,Palace Capital Plc,Real Estate,REIT Diversified,9.00,226.81 - 226.81,230.00 - 230.00,3.19 - 3.19,227.50,70.18,17170,2,0.247,1
@_,PCGH.L,Polar Capital Global Healthcare Trust plc,UNKNOWN,UNKNOWN,3.00,323.78 - 327.00,328.00 - 334.00,4.22 - 10.22,333.00,168.30,316833,4,UNKNOWN,2
@_,PCIP.L,PCI-PAL PLC,Technology,Software Infrastructure,0.67,47.00 - 47.07,47.80 - 47.92,0.80 - 0.92,47.20,272.42,27117,2,0.469,3
*_,PCT.L,Polar Capital Technology Ord,Financial Services,Asset Management,1.67,398.50 - 406.00,404.97 - 411.33,6.47 - 12.83,402.00,217.56,2223227,6,UNKNOWN,3
*_,PCTN.L,Picton Property Income Limited,Real Estate,REIT Diversified,0.00,74.80 - 74.80,75.70 - 75.70,0.90 - 0.90,74.70,59.40,651604,5,0.546,1
@_,PDL.L,Petra Diamonds Limited,Basic Materials,Other Precious Metals & Mining,0.08,11.88 - 19.62,12.95 - 20.10,1.07 - 8.22,19.05,4007.69,670052,5,-0.149,12
@_,PEB.L,Pebble Beach Systems Group plc,Technology,Communication Equipment,2.50,13.77 - 14.00,14.98 - 15.40,1.20 - 1.62,15.00,939.92,201036,4,0.549,2
*_,PEBB.L,The Pebble Group plc,Communication Services,Advertising Agencies,0.33,56.00 - 59.40,58.00 - 60.00,2.00 - 4.00,56.50,311.56,1166510,6,0.89,3
*_,PEEL.L,Peel Hunt Limited,Financial Services,Capital Markets,0.33,96.00 - 97.80,97.00 - 99.00,1.00 - 3.00,96.00,179.76,23371,2,1.131,3
*_,PEN.L,Pennant International Group plc,Technology,Software Application,0.33,21.55 - 24.69,22.29 - 25.59,0.74 - 4.04,23.00,706.28,211902,4,0.266,3
@_,PET.L,Petrel Resources Plc,Energy,Oil & Gas E&P,0.00,0.81 - 0.81,0.85 - 0.85,0.05 - 0.05,0.82,248.44,58710,3,0.618,1
@_,PETS.L,Pets at Home Group Plc,Consumer Cyclical,Specialty Retail,2.00,222.20 - 223.80,225.40 - 227.35,3.20 - 5.15,225.20,232.10,694736,5,0.927,3
@_,PGH.L,Personal Group Holdings Plc,Financial Services,Insurance Property & Casualty,1.25,330.00 - 332.28,334.75 - 360.00,4.75 - 30.00,360.00,607.20,33349,2,0.139,4
@_,PHAR.L,Pharos Energy plc,Energy,Oil & Gas E&P,0.50,20.10 - 21.10,21.20 - 21.70,1.10 - 1.60,21.60,414.40,111036,3,0.795,2
@_,PHE.L,PowerHouse Energy Group Plc,Industrials,Specialty Industrial Machinery,0.00,0.66 - 0.67,0.67 - 0.69,0.01 - 0.03,0.68,678.01,8940825,7,2.702,5
@_,PHI.L,Pacific Horizon Ord,Financial Services,Asset Management,3.00,647.00 - 656.37,658.00 - 668.00,11.00 - 21.00,664.59,158.41,132968,3,UNKNOWN,2
@_,PHLL.L,Petershill Partners Ord,Financial Services,Asset Management,2.33,228.50 - 231.00,231.50 - 237.15,3.00 - 8.65,235.00,331.59,564095,5,UNKNOWN,3
@_,PHNX.L,Phoenix Group Holdings plc,Financial Services,Insurance Life,2.00,676.27 - 687.00,687.50 - 696.00,11.23 - 19.73,691.50,232.61,2132812,6,0.796,3
*_,PHP.L,Primary Health Properties Plc,Real Estate,REIT Healthcare Facilities,0.50,93.64 - 93.82,95.75 - 96.65,2.11 - 3.01,90.85,261.82,18882393,8,0.605,2
@_,PHSC.L,PHSC plc,Industrials,Conglomerates,6.00,11.50 - 11.50,12.85 - 12.85,1.35 - 1.35,11.50,585.90,1022,1,0.638,1
@_,PIN.L,Pantheon International Ord,Financial Services,Asset Management,1.50,325.82 - 326.00,330.00 - 330.50,4.18 - 4.68,329.00,130.20,501592,5,UNKNOWN,2
@_,PINE.L,Pinewood Technologies Group PLC,Technology,Software Application,1.50,511.00 - 518.73,520.00 - 525.50,9.00 - 14.50,519.00,141.93,95749,3,-0.131,2
*_,PINT.L,Pantheon Infrastructure Ord,Financial Services,Asset Management,2.00,102.82 - 105.00,106.00 - 109.00,3.18 - 6.18,103.88,340.64,957893,5,UNKNOWN,2
*_,PLSR.L,Pulsar Helium Inc.,Basic Materials,Other Industrial Metals & Mining,0.50,26.00 - 26.40,26.70 - 27.00,0.70 - 1.00,25.60,248.70,16148,2,UNKNOWN,2
*_,PLUS.L,Plus500 Ltd.,Financial Services,Capital Markets,0.00,3232.50 - 3232.50,3328.00 - 3328.00,95.50 - 95.50,3106.00,95.50,140817,3,0.412,1
@_,PMG.L,The Parkmead Group plc,Energy,Oil & Gas E&P,1.50,15.50 - 16.18,16.00 - 16.90,0.50 - 1.40,16.50,745.03,67411,3,0.97,4
@_,PMI.L,Premier Miton Group plc,Financial Services,Asset Management,0.71,64.75 - 67.00,65.62 - 67.85,0.88 - 3.10,67.00,507.08,169647,3,0.843,7
@_,PMP.L,Portmeirion Group PLC,Consumer Cyclical,Furnishings  Fixtures & Appliances,0.50,129.10 - 131.50,133.95 - 135.00,4.85 - 5.90,132.90,653.22,5568,1,0.684,4
*_,PNN.L,Pennon Group Plc,Utilities,Utilities Regulated Water,1.00,493.20 - 493.20,503.00 - 503.00,9.80 - 9.80,476.20,98.00,670766,5,0.335,1
@_,POLB.L,Poolbeg Pharma PLC,Healthcare,Biotechnology,0.30,2.50 - 2.97,2.56 - 3.10,0.06 - 0.60,3.00,1658.78,1179488,6,1.937,10
*_,POLN.L,Pollen Street Group Limited,Financial Services,Asset Management,0.00,834.00 - 834.00,846.00 - 846.00,12.00 - 12.00,814.00,60.00,71854,3,0.05,1
*_,POLR.L,Polar Capital Holdings Plc,Financial Services,Asset Management,3.00,487.00 - 487.75,492.00 - 493.00,5.00 - 6.00,478.50,102.50,276041,4,1.028,2
*_,POLX.L,Polarean Imaging plc,Healthcare,Medical Devices,0.14,0.92 - 0.98,0.96 - 1.05,0.04 - 0.13,0.93,2023.87,1709779,6,-0.02,7
@_,POS.L,Plexus Holdings plc,Energy,Oil & Gas Equipment & Services,0.00,8.36 - 8.37,8.48 - 8.92,0.11 - 0.56,8.38,555.33,111661,3,-0.035,3
*_,POW.L,Power Metal Resources plc,Basic Materials,Other Industrial Metals & Mining,0.50,13.67 - 14.48,14.15 - 15.29,0.48 - 1.62,13.88,1077.31,443910,4,0.124,4
@_,PPET.L,Patria Private Equity Trust,Financial Services,Asset Management,1.00,536.09 - 548.00,547.10 - 554.91,11.01 - 18.81,552.00,413.64,58753,3,UNKNOWN,5
*_,PPH.L,PPHE Hotel Group Limited,Consumer Cyclical,Lodging,0.50,1700.00 - 1736.00,1730.00 - 1780.00,30.00 - 80.00,1702.00,148.00,52977,3,0.675,2
*_,PPHC.L,Public Policy Holding Company  Inc.,Industrials,Consulting Services,0.00,171.33 - 174.50,173.90 - 176.90,2.57 - 5.57,173.00,350.61,52564,3,-0.002,4
*_,PR1.L,UNKNOWN,Technology,Software Infrastructure,0.00,3.57 - 4.07,3.91 - 4.50,0.35 - 0.93,3.75,1573.99,2158829,6,0.745,6
*_,PRD.L,Predator Oil & Gas Holdings Plc,Energy,Oil & Gas E&P,0.33,3.10 - 3.49,3.24 - 3.80,0.14 - 0.70,3.45,2493.59,2595144,6,0.923,9
@_,PRE.L,Pensana Plc,Basic Materials,Other Industrial Metals & Mining,3.00,68.60 - 74.74,79.80 - 79.86,11.20 - 11.26,78.80,1144.32,788459,5,0.896,2
@_,PRIM.L,Primorus Investments plc,Financial Services,Asset Management,7.00,3.70 - 3.70,4.20 - 4.20,0.50 - 0.50,4.10,675.50,106176,3,0.261,1
@_,PRM.L,Proteome Sciences plc,Healthcare,Diagnostics & Research,1.00,2.50 - 2.92,3.00 - 3.48,0.50 - 0.98,2.99,1958.72,52787,3,-0.007,2
@_,PROC.L,ProCook Group plc,Consumer Cyclical,Specialty Retail,0.75,42.48 - 44.20,44.76 - 46.00,2.28 - 3.52,45.00,929.01,37776,2,1.001,4
@_,PRSR.L,The PRS REIT plc,UNKNOWN,UNKNOWN,1.00,103.80 - 103.80,105.20 - 105.20,1.40 - 1.40,104.20,67.20,1110320,6,UNKNOWN,1
@_,PRTC.L,PureTech Health plc,Healthcare,Biotechnology,0.25,129.60 - 131.40,131.68 - 133.40,2.08 - 3.80,133.20,334.78,584702,5,0.862,4
@_,PRU.L,Prudential plc,Financial Services,Insurance Life,2.00,955.40 - 977.71,976.80 - 998.00,21.40 - 42.60,990.20,280.45,3979299,6,1.218,3
*_,PRV.L,Porvair plc,Industrials,Pollution & Treatment Controls,1.67,732.00 - 743.90,748.00 - 758.00,16.00 - 26.00,702.00,300.60,49341,2,0.45,3
@_,PSDL.L,Phoenix Spree Deutschland Ord,Real Estate,Real Estate Services,0.67,164.00 - 166.00,166.50 - 171.50,2.50 - 7.50,166.49,344.70,34449,2,UNKNOWN,3
@_,PSH.L,Pershing Square Holdings Ord,UNKNOWN,UNKNOWN,4.00,4000.00 - 4000.00,4242.00 - 4242.00,242.00 - 242.00,4190.00,242.00,152969,3,UNKNOWN,1
*_,PSN.L,Persimmon Plc,Consumer Cyclical,Residential Construction,0.00,1097.98 - 1097.98,1130.00 - 1130.00,32.02 - 32.02,1092.50,128.08,1331864,6,1.309,1
*_,PSON.L,Pearson plc,Communication Services,Publishing,0.00,1056.50 - 1083.00,1075.00 - 1100.50,18.50 - 44.00,1062.00,144.00,1950252,6,0.305,2
*_,PTAL.L,PetroTal Corp.,Energy,Oil & Gas E&P,0.00,37.55 - 39.00,38.00 - 39.60,0.45 - 2.05,35.95,203.46,688456,5,1.111,3
*_,PTEC.L,Playtech plc,Consumer Cyclical,Gambling,2.50,430.00 - 432.07,436.48 - 439.50,6.48 - 9.50,419.00,153.01,463580,4,0.7,2
@_,PTSB.L,Permanent TSB Group Holdings plc,Financial Services,Banks Regional,0.83,2.15 - 2.25,2.26 - 2.32,0.11 - 0.17,2.25,1038.55,22481,2,0.777,6
@_,PULS.L,Pulsar Group plc,Technology,Software Application,0.00,40.00 - 40.00,40.50 - 40.50,0.50 - 0.50,40.00,62.50,5020,1,0.194,1
@_,PXC.L,Phoenix Copper Limited,Basic Materials,Other Industrial Metals & Mining,0.20,3.00 - 3.00,3.09 - 3.20,0.09 - 0.20,3.00,982.94,3143574,6,0.534,5
@_,PXEN.L,Prospex Energy Plc,Energy,Oil & Gas E&P,0.50,4.10 - 4.47,4.30 - 4.60,0.20 - 0.50,4.60,1188.59,598032,5,-1.427,6
@_,PXS.L,Provexis plc,Healthcare,Drug Manufacturers Specialty & Generic,0.00,0.69 - 0.71,0.74 - 0.74,0.04 - 0.04,0.74,780.09,78314,3,0.824,3
@_,PYC.L,Physiomics Plc,Healthcare,Biotechnology,1.00,0.41 - 0.43,0.43 - 0.44,0.01 - 0.03,0.43,961.60,1684581,6,0.564,5
*_,PYX.L,PYX Resources Limited,Basic Materials,Other Industrial Metals & Mining,0.50,0.50 - 0.55,0.62 - 0.63,0.12 - 0.13,0.50,1915.20,92126,3,-0.309,2
@_,PZC.L,PZ Cussons plc,Consumer Defensive,Household & Personal Products,1.50,68.30 - 68.80,69.80 - 69.82,1.50 - 1.52,68.70,182.94,875996,5,0.425,2
*_,QBT.L,Quantum Blockchain Technologies Plc,Financial Services,Capital Markets,0.18,0.73 - 0.76,0.76 - 0.80,0.03 - 0.07,0.75,2206.15,3878071,6,1.456,11
*_,QED.L,Quadrise Plc,Energy,Oil & Gas Integrated,0.50,2.99 - 3.21,3.21 - 3.72,0.22 - 0.73,3.14,2260.68,4138070,6,1.199,6
@_,QLT.L,Quilter plc,Financial Services,Asset Management,0.67,159.50 - 164.30,163.10 - 168.10,3.60 - 8.60,166.50,363.60,2971820,6,0.854,3
*_,QQ.L,QinetiQ Group plc,Industrials,Aerospace & Defense,0.25,480.20 - 496.60,486.80 - 504.00,6.60 - 23.80,479.80,246.50,1444864,6,0.53,4
*_,QTX.L,Quartix Technologies plc,Technology,Scientific & Technical Instruments,1.67,262.02 - 279.00,278.00 - 292.00,15.98 - 29.98,275.00,698.72,32576,2,0.652,3
*_,QUBE.L,Quantum Base Holdings PLC,Industrials,Security & Protection Services,0.44,20.50 - 22.55,21.90 - 23.00,1.40 - 2.50,21.00,3578.92,43779,2,UNKNOWN,9
*_,RAT.L,Rathbones Group Plc,Financial Services,Asset Management,1.00,1892.00 - 1892.00,1922.00 - 1922.00,30.00 - 30.00,1886.00,60.00,82110,3,0.609,1
@_,RBN.L,Robinson plc,Consumer Cyclical,Packaging & Containers,0.75,125.00 - 140.00,142.48 - 144.85,17.48 - 19.85,140.00,1234.28,21158,2,0.245,4
*_,RBW.L,Rainbow Rare Earths Limited,Basic Materials,Other Industrial Metals & Mining,0.43,15.85 - 17.50,16.87 - 17.88,1.02 - 2.02,15.25,1036.09,2235707,6,1.579,7
@_,RCFX.L,RC Fornax Plc,Industrials,Consulting Services,0.33,11.20 - 12.49,12.70 - 13.94,1.50 - 2.74,12.75,1894.84,1719231,6,UNKNOWN,3
@_,RCGH.L,RC365 Holding plc,Technology,Software Infrastructure,0.10,0.95 - 1.02,1.08 - 1.20,0.13 - 0.25,1.10,6132.80,2926238,6,0.545,10
*_,RCH.L,Reach plc,Communication Services,Publishing,1.50,68.70 - 71.50,69.58 - 72.68,0.88 - 3.98,68.25,388.18,2262564,6,1.077,4
*_,RCN.L,Redcentric plc,Technology,Information Technology Services,1.00,119.00 - 123.00,121.92 - 128.50,2.92 - 9.50,120.75,607.53,44394,2,0.052,4
@_,RCP.L,RIT Capital Partners Plc,UNKNOWN,UNKNOWN,2.33,1936.29 - 1965.64,1962.00 - 1998.00,25.71 - 61.71,1988.00,172.14,210043,4,UNKNOWN,3
*_,RDT.L,Rosslyn Data Technologies plc,Technology,Software Application,0.00,4.12 - 4.25,4.30 - 4.30,0.18 - 0.18,3.90,277.14,172177,3,0.385,2
@_,RE.L,R.E.A. Holdings plc,Consumer Defensive,Farm Products,1.00,87.00 - 94.00,94.50 - 98.00,7.50 - 11.00,95.50,909.00,26348,2,0.453,4
@_,REAT.L,REACT Group PLC,Industrials,Specialty Business Services,0.67,48.50 - 50.41,50.89 - 52.50,2.39 - 4.00,50.50,528.82,70162,3,0.494,3
@_,REC.L,Record plc,Financial Services,Asset Management,0.75,58.19 - 60.49,59.40 - 62.36,1.21 - 4.17,62.40,505.24,215948,4,0.86,4
@_,RECI.L,Real Estate Credit Investments Ord,Financial Services,Asset Management,2.67,127.21 - 127.50,129.00 - 129.50,1.79 - 2.29,127.50,217.23,266569,4,UNKNOWN,3
@_,REE.L,Altona Rare Earths Plc,Basic Materials,Other Industrial Metals & Mining,1.67,1.40 - 1.44,1.45 - 1.70,0.04 - 0.30,1.65,1326.54,351901,4,0.12,3
*_,RENX.L,Renalytix Plc,Healthcare,Health Information Services,1.00,7.10 - 7.35,8.00 - 8.00,0.90 - 0.90,5.75,2241.27,158901,3,1.592,4
*_,RESI.L,Residential Secure Income Ord,Real Estate,REIT Residential,1.00,58.94 - 60.76,60.16 - 61.40,1.23 - 2.46,59.40,483.26,306735,4,UNKNOWN,6
@_,REVB.L,Revolution Beauty Group plc,Consumer Defensive,Household & Personal Products,0.50,3.01 - 3.51,3.67 - 4.00,0.66 - 0.99,4.00,3352.20,615239,5,1.114,6
@_,RFG.L,Roebuck Food Group plc,Consumer Defensive,Food Distribution,0.00,13.59 - 15.20,16.00 - 16.00,2.41 - 2.41,15.50,1146.87,15461,2,0.038,2
@_,RFX.L,Ramsdens Holdings PLC,Consumer Cyclical,Luxury Goods,1.00,324.00 - 335.00,338.00 - 340.00,14.00 - 16.00,335.00,439.25,42696,2,0.615,4
@_,RGL.L,Regional REIT Ord,Real Estate,REIT Office,0.00,121.80 - 122.82,123.60 - 124.40,1.80 - 2.60,124.40,248.60,194778,3,UNKNOWN,4
*_,RHIM.L,RHI Magnesita N.V.,Industrials,Metal Fabrication,1.50,2200.00 - 2230.19,2260.00 - 2279.57,60.00 - 79.57,2215.00,218.76,24009,2,1.436,2
@_,RICA.L,Ruffer Investment Company,Financial Services,Asset Management,9.00,282.50 - 282.50,286.64 - 286.64,4.14 - 4.14,285.50,70.38,642551,5,UNKNOWN,1
@_,RIII.L,Rights & Issues Investment Trust Ord,Financial Services,Asset Management,1.00,2140.00 - 2140.00,2165.00 - 2165.00,25.00 - 25.00,2140.00,50.00,7259,1,UNKNOWN,1
*_,RIO.L,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,2.00,4461.00 - 4566.00,4543.00 - 4679.00,82.00 - 218.00,4507.00,294.50,3886398,6,0.615,3
*_,RKH.L,Rockhopper Exploration plc,Energy,Oil & Gas E&P,0.75,73.45 - 75.80,75.00 - 78.20,1.55 - 4.75,74.40,532.52,1934827,6,0.124,4
@_,RLE.L,Real Estate Investors Plc,Real Estate,REIT Diversified,1.50,31.50 - 32.00,32.25 - 32.90,0.75 - 1.40,32.00,542.50,67335,3,0.495,4
@_,RM.L,RM plc,Technology,Software Application,0.67,99.10 - 100.00,101.23 - 103.68,2.13 - 4.58,100.00,485.50,84264,3,1.628,3
*_,RMII.L,RM Infrastructure Income Ord,Financial Services,Asset Management,0.00,64.58 - 65.04,66.00 - 68.50,1.42 - 3.92,64.50,506.05,50740,3,UNKNOWN,3
@_,RMR.L,Rome Resources Plc,Basic Materials,Other Industrial Metals & Mining,5.00,0.23 - 0.23,0.31 - 0.31,0.08 - 0.08,0.31,1716.72,8849911,7,UNKNOWN,1
*_,RNK.L,The Rank Group Plc,Consumer Cyclical,Gambling,2.00,146.93 - 146.93,150.60 - 150.60,3.67 - 3.67,137.40,124.78,881874,5,2.344,1
@_,RNO.L,Renold plc,Industrials,Specialty Industrial Machinery,7.00,80.40 - 80.40,81.60 - 81.60,1.20 - 1.20,80.80,74.40,1136509,6,0.577,1
*_,RNWH.L,Renew Holdings plc,Industrials,Engineering & Construction,1.25,831.00 - 840.63,841.00 - 854.00,10.00 - 23.00,835.14,262.30,101421,3,0.82,4
@_,ROAD.L,Roadside Real Estate plc,Real Estate,Real Estate Development,0.40,47.00 - 47.94,47.50 - 52.92,0.50 - 5.92,52.75,981.14,79807,3,UNKNOWN,5
@_,ROQ.L,Roquefort Therapeutics plc,Healthcare,Biotechnology,0.00,1.51 - 1.55,1.58 - 1.80,0.07 - 0.29,1.65,2420.44,521343,5,-0.434,6
@_,ROR.L,Rotork plc,Industrials,Specialty Industrial Machinery,2.00,332.20 - 336.40,338.80 - 348.00,6.60 - 15.80,341.20,261.40,1883848,6,0.821,2
*_,ROSE.L,Rosebank Industries plc,Financial Services,Asset Management,0.00,340.00 - 340.00,350.00 - 350.00,10.00 - 10.00,339.00,140.00,406787,4,UNKNOWN,1
*_,RPI.L,Raspberry Pi Holdings plc,Technology,Electronic Components,0.67,402.40 - 415.60,424.00 - 426.40,21.60 - 24.00,399.00,520.08,221637,4,UNKNOWN,3
@_,RR.L,Rolls-Royce Holdings plc,Industrials,Aerospace & Defense,1.00,1067.50 - 1083.50,1101.50 - 1102.50,34.00 - 35.00,1079.50,212.00,32357932,8,1.802,2
@_,RS1.L,RS Group plc,Industrials,Industrial Distribution,0.67,547.42 - 553.50,558.00 - 566.00,10.58 - 18.58,560.50,304.11,541595,5,0.777,3
@_,RSE.L,Riverstone Energy Ord,Financial Services,Asset Management,0.00,850.00 - 874.15,871.00 - 890.00,21.00 - 40.00,875.00,274.25,19494,2,UNKNOWN,3
@_,RSG.L,Resolute Mining Limited,Basic Materials,Gold,1.00,31.30 - 33.30,33.60 - 35.00,2.30 - 3.70,34.80,1059.46,153253,3,1.168,5
*_,RST.L,Restore plc,Industrials,Specialty Business Services,0.17,258.00 - 263.90,261.00 - 267.00,3.00 - 9.00,260.10,500.21,173222,3,0.287,6
@_,RSW.L,Renishaw plc,Technology,Scientific & Technical Instruments,1.50,2905.00 - 2935.00,2985.00 - 3060.00,80.00 - 155.00,3000.00,205.00,65370,3,0.563,2
@_,RTC.L,RTC Group plc,Industrials,Staffing & Employment Services,1.00,90.00 - 91.50,95.00 - 97.50,5.00 - 7.50,95.00,601.50,13714,2,0.909,2
*_,RTO.L,Rentokil Initial plc,Industrials,Specialty Business Services,0.00,358.50 - 370.40,364.70 - 378.90,6.20 - 20.40,364.10,319.80,7121149,7,0.329,4
@_,RUA.L,RUA Life Sciences plc,Healthcare,Medical Devices,0.00,11.57 - 12.12,12.25 - 13.00,0.68 - 1.43,12.12,669.89,76934,3,1.018,2
@_,RVRB.L,River Global Plc,Financial Services,Asset Management,1.50,34.00 - 35.00,34.75 - 35.70,0.75 - 1.70,35.00,637.45,29140,2,0.499,4
@_,RVRG.L,River Global Plc,Financial Services,Asset Management,0.80,6.62 - 6.75,6.85 - 7.00,0.22 - 0.38,6.75,915.06,199470,3,0.499,5
@_,RWA.L,Robert Walters plc,Industrials,Staffing & Employment Services,0.33,129.00 - 137.00,132.50 - 141.94,3.50 - 12.94,137.00,886.08,769682,5,0.632,6
@_,RWS.L,RWS Holdings plc,Industrials,Specialty Business Services,1.67,77.00 - 82.26,80.30 - 84.28,3.30 - 7.28,84.85,532.16,1887211,6,0.452,3
@_,S247.L,Smarttech247 Group plc,Technology,Software Infrastructure,0.00,7.50 - 7.83,8.00 - 8.00,0.50 - 0.50,8.00,1625.90,26672,2,0.018,6
